"City Id","City name","Total Users",Percentage
18477,Jhunjhunu,17,0.05
17281,Sheopur,17,0.05
18551,Jhalawar,17,0.05
18985,Kancheepuram,16,0.05
17949,Gumla,16,0.05
18467,"West Singhbhum",16,0.05
16182,Medak,16,0.05
18787,"South 24 Parganas",16,0.05
3117,Junagadh,16,0.05
133,"Bihar Sharif",16,0.05
18611,Fazilka,16,0.05
18593,Kapurthala,15,0.05
18486,Chittoor,15,0.05
1386,Bahadurgarh,15,0.05
18658,Kolhapur,15,0.05
17769,Khedawada,14,0.04
17024,Bardhaman,14,0.04
18991,Shravasti,14,0.04
16701,Udaipur,14,0.04
18540,"Kamrup Metropolitan",14,0.04
15634,Arwaliya,14,0.04
9962,Amravati,14,0.04
63,Modinagar,14,0.04
18499,Surguja,13,0.04
18700,Sundargarh,13,0.04
18731,Murshidabad,13,0.04
165,Atmakur,13,0.04
66,Lakhimpur,13,0.04
19011,"Purba Bardhaman",13,0.04
18652,Satara,13,0.04
16099,"Jashpur Nagar",13,0.04
18720,Rajnandgaon,13,0.04
18748,"North Goa",13,0.04
5962,Ernakulam,13,0.04
18626,Bhilwara,13,0.04
18472,Khammam,13,0.04
15995,Jamtara,13,0.04
18620,Sidhi,12,0.04
18764,Yavatmal,12,0.04
18194,Umaria,12,0.04
18689,Kangra,12,0.04
18673,Hooghly,12,0.04
18543,Latehar,12,0.04
3529,"Salempur Mahdood",12,0.04
18646,"Tehri Garhwal",12,0.04
18712,Amreli,12,0.04
6598,Sikar,12,0.04
16200,Karimnagar,11,0.03
18665,Khordha,11,0.03
18403,"Pauri Garhwal",11,0.03
15766,Jagadhri,11,0.03
18587,Pakur,11,0.03
15550,Cured,11,0.03
5467,Hassanpur,11,0.03
243,"Bokaro Steel City",11,0.03
981,Paliganj,11,0.03
100,Satna,11,0.03
18713,Akola,11,0.03
18317,Prakasam,10,0.03
18680,Guntur,10,0.03
17610,"Krishnapur Tala",10,0.03
18763,Sheohar,10,0.03
18390,Kanchipuram,10,0.03
18635,Malda,10,0.03
18681,Rajsamand,10,0.03
18650,"I can",10,0.03
3029,Alirajpur,10,0.03
18666,Birbhum,10,0.03
18705,Lohardaga,10,0.03
18736,Dhule,10,0.03
17699,Jhabua,10,0.03
18674,Mahabubnagar,10,0.03
85,Akbarpur,10,0.03
17621,Sicaria,10,0.03
15790,Bhiwadi,10,0.03
18953,Korba,10,0.03
15816,"Charkhi Dadri",10,0.03
18573,Wardha,10,0.03
18789,Chamoli,10,0.03
18046,"Shimla Ther",10,0.03
18330,Gurdaspur,10,0.03
161,Style,10,0.03
18777,Mahasamund,9,0.03
18779,Surendranagar,9,0.03
126,Dindori,9,0.03
106,Khandwa,9,0.03
18688,Mansa,9,0.03
18600,Baran,9,0.03
17029,Agarpur,9,0.03
18585,Faridkot,9,0.03
15873,Chandrapur,9,0.03
18653,"Dakshina Kannada",9,0.03
17046,Beeda,9,0.03
18586,Barmer,9,0.03
18656,Karauli,9,0.03
48,"Faizabad and Ayodhya",9,0.03
17618,Nanded-Waghala,9,0.03
17007,"Fatehpur Roshanai",9,0.03
18659,"Dadra and Nagar Haveli",9,0.03
18628,"YSR District",9,0.03
16936,Udapura,9,0.03
18610,Almora,9,0.03
18699,"Dausa Banjarpur",9,0.03
19398,Yeida,8,0.02
18881,Patan,8,0.02
18701,"Bangalore Rural",8,0.02
18836,Latur,8,0.02
18851,Kottayam,8,0.02
18809,Nagaur,8,0.02
18717,Nalgonda,8,0.02
140,Bettiah,8,0.02
16180,Chittorgarh,8,0.02
18721,Jalore,8,0.02
18032,Pathankot,8,0.02
110,Shivpuri,8,0.02
18676,Mysuru,8,0.02
18739,"Uttar Dinajpur",8,0.02
18327,Anuppur,8,0.02
18876,Krishnagiri,8,0.02
18831,Nagaon,8,0.02
18660,Sangli,8,0.02
18832,Jalna,8,0.02
18632,Ferozepur,7,0.02
15998,"Navi Mumbai",7,0.02
18819,"South Goa",7,0.02
18362,"Shaheed Bhagat Singh Nagar",7,0.02
18667,Navsari,7,0.02
117,Pithampur,7,0.02
18783,Purulia,7,0.02
15810,"Surajpur Nisfi",7,0.02
18824,Bukhar,7,0.02
18622,Kasaragod,7,0.02
18489,Kutch,7,0.02
10387,"Raghunathpur Imadpur",7,0.02
171,Plant,7,0.02
142,Hajipur,7,0.02
18640,Dhaulpur,7,0.02
19077,Rudraprayag,7,0.02
154,Aurangabad,7,0.02
5574,Sirsala,7,0.02
18607,Udupi,7,0.02
18754,Darjeeling,7,0.02
18497,Barnala,7,0.02
18576,Adilabad,7,0.02
18383,Dhamtari,7,0.02
645,Dharuhera,6,0.02
18742,"Sri Potti Sriramulu Nellore District",6,0.02
19087,Kalaburagi,6,0.02
11849,"Firozpur Jhirka",6,0.02
2789,Shikarpur,6,0.02
798,Narnaul,6,0.02
1372,"Tundla Kham",6,0.02
166,Masanpalle,6,0.02
16811,Gondia,6,0.02
1320,Bankura,6,0.02
18685,Pithoragarh,6,0.02
19059,Dholpur,6,0.02
167,Mature,6,0.02
18621,Bijapur,6,0.02
19163,Bundi,6,0.02
19264,Sabarkantha,6,0.02
18870,Ramanagara,6,0.02
18518,Bastar,6,0.02
18841,"East Godavari",6,0.02
18520,Kozhikode,6,0.02
84,Chandausi,6,0.02
18696,Panchmahal,6,0.02
18548,Khunti,6,0.02
16984,Shahpura[Gogaon],6,0.02
16902,"Mandi Gobindgarh",6,0.02
18802,Kannur,6,0.02
473,Narwana,6,0.02
15647,Vrindavan,6,0.02
8737,"Rudrapur Bisen",6,0.02
19082,Simdega,6,0.02
746,Kashipur,6,0.02
18679,Belagavi,5,0.02
16696,God,5,0.02
18648,Chamba,5,0.02
19053,Dungarpur,5,0.02
19372,"Agar Malwa",5,0.02
18634,Vellore,5,0.02
1048,Dhampur,5,0.02
18867,"Sawai Madhopur",5,0.02
1255,"Padariya Sarangpur Ryt.",5,0.02
18435,Vishakhapatnam,5,0.02
79,Sultanpur,5,0.02
19407,"Baloda Bazar",5,0.02
17374,"on your fingers",5,0.02
18638,Thiruvananthapuram,5,0.02
19331,"Tehsil Sirsa",5,0.02
15909,open,5,0.02
18196,Karimganj,5,0.02
18812,Dharmapuri,5,0.02
18749,Jharsuguda,5,0.02
18604,"Sri Muktsar Sahib",5,0.02
19177,Parbhani,5,0.02
18738,Raichur,5,0.02
19334,Medchal-Malkajgiri,5,0.02
295,Mubarakpur,5,0.02
466,Baddiha,5,0.02
60,Weather,5,0.02
175,"Mountain View",5,0.02
18842,Ganjam,5,0.02
784,Bihat-IV,5,0.02
18724,Warangal,5,0.02
16232,Tonki,5,0.02
18788,Madurai,5,0.02
18830,Buldhana,5,0.02
15576,Dabra,5,0.02
15962,Sikandrabad,5,0.02
15924,Mughalsarai,5,0.02
19193,Mayurbhanj,5,0.02
16093,cheap,5,0.02
10470,"Ganj Basoda",5,0.02
1561,Khekra,5,0.02
16281,Muradnagar,5,0.02
16021,"Raipur Nayakheda",5,0.02
15590,"Samaspur Halor",4,0.01
16154,"Khanpur Pakri",4,0.01
18615,Dindigul,4,0.01
19286,"Sub Tehsil Kanina",4,0.01
3202,"Rampur Kala",4,0.01
18715,Jalpaiguri,4,0.01
13529,Rishikesh,4,0.01
18848,Balasore,4,0.01
9189,Mustafabad,4,0.01
18504,Rupnagar,4,0.01
18578,Nandurbar,4,0.01
2025,age,4,0.01
16384,Dhanaura,4,0.01
16167,"Atrauli Patti Sher Singh",4,0.01
18822,Gadag,4,0.01
18531,Kullu,4,0.01
19448,Dhubri,4,0.01
18636,Ratnagiri,4,0.01
18782,Bidar,4,0.01
1229,Bharthana,4,0.01
18853,Sonitpur,4,0.01
3224,"Kosi Kalan",4,0.01
19234,"Purba Medinipur",4,0.01
18637,Kollam,4,0.01
18747,Daman,4,0.01
15785,"Hasanpur Mu.Alinagar",4,0.01
18537,Kurnool,4,0.01
16028,"Initial Hall",4,0.01
19239,"Tehsil Hansi",4,0.01
12125,Pipariya,4,0.01
58,Fatehpur,4,0.01
5565,Vijayapura,4,0.01
502,Biaora,4,0.01
975,Haldwani,4,0.01
8228,Rath,4,0.01
109,Guna,4,0.01
15888,Khairabad,4,0.01
7208,Constructions,4,0.01
14521,"Rampur Naikin",4,0.01
8730,Madhupur,4,0.01
19246,"Paschim Medinipur",4,0.01
49,"Maunath Bhanjan",4,0.01
13648,Kalyanpur,4,0.01
18677,Sirmaur,4,0.01
16553,"Tikri Rural",4,0.01
15779,Amber,4,0.01
134,Arrah,4,0.01
18550,Anantapuram,4,0.01
6067,Zirakpur,4,0.01
15719,Matanhail,4,0.01
18845,Gadchiroli,4,0.01
9145,Shahbad,4,0.01
18629,Osmanabad,4,0.01
2645,Bhilai,4,0.01
18356,Bellary,4,0.01
12970,Jwalapur,4,0.01
15682,Ganaur,4,0.01
4710,Chapra,3,0.01
512,baby,3,0.01
13,Nadiad,3,0.01
436,Bihta,3,0.01
18833,"West Godavari",3,0.01
15636,charcoal,3,0.01
1252,Samalkha,3,0.01
17958,Pataudi,3,0.01
6075,Surakhedi,3,0.01
19213,Koppal,3,0.01
148,"They give",3,0.01
15999,Jammu,3,0.01
89,Seehabad,3,0.01
18793,Kendujhar,3,0.01
19297,"Majhaulia Block",3,0.01
3203,Rajpura,3,0.01
6139,"Noorpur Dehat",3,0.01
15858,Locker,3,0.01
16735,Islampur,3,0.01
14644,Lakhanpur,3,0.01
5676,anxiety,3,0.01
12839,"Kamalpur Kajee",3,0.01
527,Cairns,3,0.01
959,Begumganj,3,0.01
5241,Sahaspur,3,0.01
18883,"Dakshin Dinajpur",3,0.01
18702,Chitradurga,3,0.01
13240,"Nala Sopara",3,0.01
16990,city,3,0.01
19301,Bageshwar,3,0.01
359,Jaspur,3,0.01
768,"Megh Nagar",3,0.01
15918,Dhanauri,3,0.01
17090,"growing up",3,0.01
13795,"Thiriya Nizawat Khan",3,0.01
16823,Paharpur,3,0.01
19351,"East Khasi Hills",3,0.01
16274,Jalalabad,3,0.01
15376,Carnival,3,0.01
775,Baberu,3,0.01
15400,Piprahi,3,0.01
821,Durg,3,0.01
18582,Idukki,3,0.01
18706,"West Tripura",3,0.01
591,Nayagaon,3,0.01
18811,Thrissur,3,0.01
15071,Medininagar,3,0.01
10615,Kaliana,3,0.01
19167,Ballari,3,0.01
4554,Jind,3,0.01
19488,Kamareddy,3,0.01
15861,"they know",3,0.01
2845,"Bhagwanpur Vilaspur",3,0.01
19069,Banswara,3,0.01
152,Jamalpur,3,0.01
15316,Dongargaon,3,0.01
2069,"Balua Bhawani Baksasingh",3,0.01
15378,Champawat,3,0.01
11683,Hodal,3,0.01
16309,Birpur,3,0.01
3034,Tarkhad,3,0.01
5953,swelling,3,0.01
19108,"Gir Somnath",3,0.01
16205,Dasna,3,0.01
595,Gharaunda,3,0.01
18624,"Nawalparasi West Of Bardaghat Susta",3,0.01
9583,Sironj,3,0.01
428,Chibramau,3,0.01
82,Sahaswan,3,0.01
174,Jalalpur,3,0.01
19435,Jaisalmer,3,0.01
15959,Deoband,3,0.01
5566,Nissing,3,0.01
783,Faridpur,3,0.01
15511,Dyalpura,3,0.01
19387,"Cooch Behar",3,0.01
14692,"Manpuria Delel",3,0.01
17701,Bhatpura,3,0.01
18605,Dhenkanal,3,0.01
19272,"Nautan Block",3,0.01
14156,Jaitpur,3,0.01
18800,Cachar,3,0.01
18859,Thanjavur,3,0.01
144,Dehri,3,0.01
19389,"Paschim Bardhaman",3,0.01
16637,Amarpatan,3,0.01
19340,Malkangiri,3,0.01
16565,"Bond Remainder",3,0.01
6941,Garoth,3,0.01
8245,"Shahpur Ganga",3,0.01
7218,"Kotwal Alampur",3,0.01
786,Kota,3,0.01
145,Siwan,3,0.01
3540,Thane,3,0.01
16768,Bhiwandi,3,0.01
18725,Bhandara,3,0.01
1205,Shampur,3,0.01
434,Bhanpura,3,0.01
16130,Pundri,3,0.01
19276,Angul,3,0.01
299,Love,3,0.01
16431,female,3,0.01
3184,Silani,3,0.01
19314,"Bhitaha Block",3,0.01
388,Gauradanda,3,0.01
1312,Ravali,3,0.01
18678,Shimoga,3,0.01
146,Motihari,3,0.01
17972,"Tapin North",3,0.01
11003,Grandma,3,0.01
15552,Budhana,3,0.01
19199,"Korea District",3,0.01
19249,Porbandar,3,0.01
18878,Dhalai,3,0.01
15671,"Maheva Chak-3",3,0.01
17519,Pilkhuwa,3,0.01
18647,Hingoli,3,0.01
19046,Sirohi,3,0.01
1361,Bilaspur,3,0.01
1251,Misrikh-cum-Neemsar,3,0.01
15792,Ashta,3,0.01
19371,Pathanamthitta,3,0.01
19123,Kalahandi,3,0.01
18864,Dimapur,2,0.01
9309,Country,2,0.01
16808,"Marhar Mau Kala",2,0.01
17507,Bhelsi,2,0.01
15396,Sona,2,0.01
16143,"Dabwali bath",2,0.01
9963,Bandhapali,2,0.01
15804,Bhiladiya,2,0.01
16369,Children,2,0.01
16963,Jaswadi,2,0.01
18730,Erode,2,0.01
942,Karaudhna,2,0.01
15553,Bali,2,0.01
17127,Susnilewa,2,0.01
19252,Tiruvarur,2,0.01
1214,"Muradabad kalan",2,0.01
718,"Arazi Navbarar Karkhiya Kit",2,0.01
16531,Salaiatanr,2,0.01
12298,Alampur,2,0.01
18792,Kailali,2,0.01
19344,Jagtial,2,0.01
17430,Dadra,2,0.01
16084,"Jhumri Telaiya",2,0.01
868,Jhalu,2,0.01
8968,sail,2,0.01
9059,Ghatwasan,2,0.01
19421,"Uttar Bastar Kanker",2,0.01
19446,Aravalli,2,0.01
16433,Casson,2,0.01
15685,Mankapur,2,0.01
15420,Phulpur,2,0.01
12641,Thadod,2,0.01
16580,"Of course",2,0.01
19136,Dahod,2,0.01
17721,department,2,0.01
18866,Barpeta,2,0.01
7445,Sujro,2,0.01
15591,Sinder,2,0.01
19319,Bagalkot,2,0.01
14643,Madarpur,2,0.01
17783,Unwal,2,0.01
16261,Mungeli,2,0.01
12836,Binauli,2,0.01
15626,barse,2,0.01
16964,Kesharipur,2,0.01
15928,Seohara,2,0.01
16120,baldeota,2,0.01
997,"Sumal Khera",2,0.01
16710,Bamora,2,0.01
719,Pathardih,2,0.01
125,nagda,2,0.01
19347,Bazar,2,0.01
5760,Allahabad,2,0.01
16085,Jharia,2,0.01
19055,Tumakuru,2,0.01
10319,Deoran,2,0.01
16272,Kantaphod,2,0.01
872,"Amwa Deoria",2,0.01
13095,example,2,0.01
3949,"Abdulla Nagar Dahana",2,0.01
18908,"Sangareddy District",2,0.01
8452,Jariya,2,0.01
16759,Riyadh,2,0.01
15917,Kushwar,2,0.01
18716,Chikballapur,2,0.01
18075,"Moth Karnail Shab",2,0.01
16687,Khagawal,2,0.01
16036,"Manpura Myapur",2,0.01
17741,"Bela Pratapgarh",2,0.01
19485,Rautahat,2,0.01
16145,enough,2,0.01
15966,"Gaziapur T. Harpur",2,0.01
19321,Boudh,2,0.01
15699,"Gosain Chhapra",2,0.01
16262,Jasalpur,2,0.01
15517,Barhampur,2,0.01
17695,Rajkhedi,2,0.01
15627,"Dongra Ahir",2,0.01
11660,Dalsinghsarai,2,0.01
16306,Jungia,2,0.01
9610,Mendu,2,0.01
16346,"Katka Manapur",2,0.01
18334,Palakkad,2,0.01
15532,Tajnagar,2,0.01
17707,Sengarai,2,0.01
15638,Bhurkunda,2,0.01
16977,Mahmoodpur,2,0.01
16724,"Bhisi Jargaon",2,0.01
16437,Rajwara,2,0.01
18909,Balia,2,0.01
139,Danapur,2,0.01
19380,Shivamogga,2,0.01
15027,"Taufir Maharajganj",2,0.01
923,Kanupur,2,0.01
19232,Tiruvannamalai,2,0.01
18868,Alipurduar,2,0.01
12123,Janipur,2,0.01
2826,Haziyapur,2,0.01
16919,Chittaranjan,2,0.01
16450,"On the way",2,0.01
19009,"Gaunaha Block",2,0.01
15700,Kathai,2,0.01
15433,"Mad Kheda",2,0.01
532,Sadatpur,2,0.01
15738,Deoguradia,2,0.01
18733,"Karbi Anglong",2,0.01
16895,"Mira Bhayandar",2,0.01
16425,Bakhtiyarpur,2,0.01
3030,Dhanpur,2,0.01
15978,Turkish,2,0.01
18533,Nayagarh,2,0.01
5852,"Gehun Kheda",2,0.01
17569,"Kheri Jattan",2,0.01
19103,Noah,2,0.01
19426,"Tehsil Safidon",2,0.01
590,Ambala,2,0.01
9262,madhopur,2,0.01
15471,"If you know",2,0.01
18003,"Ganeshpur Rahmanpur",2,0.01
11851,Bhojpur,2,0.01
18766,Gulbarga,2,0.01
18917,Jajpur,2,0.01
1264,Hirapur,2,0.01
18810,Tinsukia,2,0.01
487,Sarabe,2,0.01
16285,Drums,2,0.01
15558,Akodha,2,0.01
213,Rehli,2,0.01
18869,Koraput,2,0.01
12124,reengagement,2,0.01
15774,sorry,2,0.01
16920,Waidhan,2,0.01
17173,Sangramgarh,2,0.01
45,Rampur,2,0.01
17218,Amilia,2,0.01
16596,"Rampur Khurd",2,0.01
15315,"Kaithauliya Rahra",2,0.01
16112,Sumerpur,2,0.01
16714,"Barhaya Buzurg",2,0.01
14135,parsaun,2,0.01
9748,E.Saren,2,0.01
15676,"Mhow Gaon",2,0.01
15607,Shujalpur,2,0.01
18143,Kapriwas,2,0.01
19352,"Deo Block",2,0.01
16942,Urination,2,0.01
17069,"Jang Bahadur Ganj",2,0.01
19105,Bidupur,2,0.01
16388,supported,2,0.01
18854,Chittaurgarh,2,0.01
9263,Narayanpur,2,0.01
17501,"Jui Khurd",2,0.01
15472,"Mawana Kalan",2,0.01
16992,Ghoriya,2,0.01
368,Saifni,2,0.01
5519,Sarah,2,0.01
15689,Bhagotipur,2,0.01
15798,top,2,0.01
16361,"Dera Bassi",2,0.01
15992,Sister,2,0.01
488,"Jasauli Pakauli",2,0.01
17813,Patwania,2,0.01
704,Torah,2,0.01
118,Narmadapuram,2,0.01
15775,Killa-pardi,2,0.01
426,Daiwghat,2,0.01
17938,Bilaunji,2,0.01
16375,"Baghi Deoraj",2,0.01
18826,Mandya,2,0.01
16597,"Miss Grameen",2,0.01
16159,Dhunela,2,0.01
15715,"Bibipur Jalalabad",2,0.01
1460,"Rasulpur Marhi",2,0.01
18840,"Tarn Taran",2,0.01
18603,"Al Majmaah",2,0.01
9264,Janakpur,2,0.01
